NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
150	yes	1268	YES	2
151	no	1269	NO	2
152	inside	1606	INSIDE	2
153	outside	762	OUTSIDE	2
#<<<				
154	above	1265	HIGH	2
154	above	1741	ABOVE	2
#>>>				
#<<<				
155	beneath	690	BOTTOM	2
155	beneath	1485	BELOW OR UNDER	2
#>>>				
#	150/155	97%		
