originals	tokenized	transliterated	ipa	ID
epat	e p a t	e p a t	e p a t	314
lima	l i m a	l i m a	l i m a	317
ènèm	è n è m	E n E m	ɛ n ɛ m	320
pitoe	p i t oe	p i t u	p i t u	323
waloe	w a l oe	w a l u	w a l u	326
siwa	s i w a	s i w a	s i w a	329
poeloe	p oe l oe	p u l u	p u l u	332
poeloe sara tera	p oe l oe # s a r a # t e r a	p u l u # s a r a # t e r a	p u l u # s a r a # t e r a	335
poeloe doewa tera	p oe l oe # d oe w a # t e r a	p u l u # d u w a # t e r a	p u l u # d u w a # t e r a	338
poeloe teloe tera	p oe l oe # t e l oe # t e r a	p u l u # t e l u # t e r a	p u l u # t e l u # t e r a	341
doeang a poeloe	d oe a ng # a # p oe l oe	d u a ng # a # p u l u	d u a ŋ # a # p u l u	344
telonga a poeloe	t e l o ng a # a # p oe l oe	t e l O ng a # a # p u l u	t e l ɔ ŋ a # a # p u l u	347
epatuga a poeloe	e p a t u g a # a # p oe l oe	e p a t u g a # a # p u l u	e p a t u g a # a # p u l u	350
limanga a poeloe	l i m a ng a # a # p oe l oe	l i m a ng a # a # p u l u	l i m a ŋ a # a # p u l u	353
ènèngapoeloe	è n è ng a p oe l oe	E n E ng a p u l u	ɛ n ɛ ŋ a p u l u	356
pitoenga a poeloe	p i t oe ng a # a # p oe l oe	p i t u ng a # a # p u l u	p i t u ŋ a # a # p u l u	359
waloenga a poeloe	w a l oe ng a # a # p oe l oe	w a l u ng a # a # p u l u	w a l u ŋ a # a # p u l u	362
siwanga a poeloe	s i w a ng a # a # p oe l oe	s i w a ng a # a # p u l u	s i w a ŋ a # a # p u l u	365
sengôtoe	s e ng ô t oe	s e ng o t u	s e ŋ o t u	368
doeangôtoe	d oe a ng ô t oe	d u a ng o t u	d u a ŋ o t u	371
teulongôtoe	t eu l o ng ô t oe	t e:u l O ng o t u	t ɛu l ɔ ŋ o t u	373
poelongôtoe	p oe l o ng ô t oe	p u l O ng o t u	p u l ɔ ŋ o t u	376
mesoeboe	m e s oe b oe	m e s u b u	m e s u b u	379
melôh	m e l ô h	m e l o h	m e l o h	382
mèrèp	m è r è p	m E r E p	m ɛ r ɛ p	385
koedoe	k oe d oe	k u d u	k u d u	388
moeino	m o ei n o	m O e:i n O	m ɔ ɛi n ɔ	391
morîô	m o r î ô	m O r i o	m ɔ r i o	394
berau	b e r a u	b e r a u	b e r a u	397
moelâlak	m oe l â l a k	m u l a l a k	m u l a l a k	399
menèo	m e n è o	m e n E O	m e n ɛ ɔ	402
kepâta	k e p â t a	k e p a t a	k e p a t a	405
kebâra	k e b â r a	k e b a r a	k e b a r a	408
hôô	h ô ô	h o o	h o o	411
tâ-oe	t â - oe	t a ' u	t a ʔ u	414
kebâra	k e b â r a	k e b a r a	k e b a r a	417
kepâta	k e p â t a	k e p a t a	k e p a t a	422
kepolak	k e p o l a k	k e p O l a k	k e p ɔ l a k	425
